"","clusterID","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","方法fānɡ_fǎ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,91,2,1,1,69,25,0.2184,0.6315,95
"2",2,2,0,47,0,28,12,9,0.1705,0.9756,49
"3",3,40,136,120,60,126,147,83,1.2799,1.0723,356
