"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"忍受"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"忍受国"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"忽略"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"怀疑"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"思想"	1	5	7	0	0	0	1.373	3.125	3.204	3.661	0.619	1.017	-0.226	0.739	1.648	-1.868	-0.276	-0.46	5.217	"4"
"性格"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"总体"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"总经理"	0	0	0	4	0	0	0.422	0.962	0.986	1.127	0.191	0.313	-0.194	-0.478	-0.492	2.201	-0.085	-0.142	3.592	"4"
"总计"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"息息相关"	0	0	2	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	1.217	-0.287	-0.042	-0.071	1.953	"3"
"恶化"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"惊讶"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"意志"	0	0	4	0	1	0	0.528	1.202	1.232	1.408	0.238	0.391	-0.242	-0.597	1.83	-0.718	0.664	-0.177	4.228	"3"
"意识"	0	1	2	0	0	0	0.317	0.721	0.739	0.845	0.143	0.235	-0.145	0.25	0.817	-0.431	-0.064	-0.106	1.813	"3"
"感人"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"感召"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"感观"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"成分"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"成本"	1	1	0	1	0	0	0.317	0.721	0.739	0.845	0.143	0.235	0.546	0.25	-0.369	0.201	-0.064	-0.106	1.536	"1"
"所谓"	0	0	2	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	1.217	-0.287	-0.042	-0.071	1.953	"3"
"手段"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"才能"	1	3	2	1	0	1	0.845	1.923	1.972	2.253	0.381	0.626	0.229	0.526	0.205	-0.533	-0.17	0.32	1.983	"4"
"才艺"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"打好"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"打破"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"打赢"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"托儿"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"托儿所"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"执"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"执政"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"执法"	0	1	1	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	0.374	0.364	-0.287	-0.042	-0.071	1.235	"2"
"扶正"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"扶贫"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"批"	2	0	0	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	1.953	-0.239	-0.246	-0.287	-0.042	-0.071	2.838	"1"
"承商"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"技"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"技术"	0	0	0	3	0	0	0.317	0.721	0.739	0.845	0.143	0.235	-0.145	-0.358	-0.369	1.651	-0.064	-0.106	2.693	"4"
"技能"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"投诉"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"抗压"	0	0	0	0	1	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	1.322	-0.035	1.791	"5"
"护理"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"抽验"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"拓展"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"拘谨"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"招揽"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"持续"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"挂帅"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"按摩师"	0	0	0	0	0	2	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	-0.287	-0.042	2.213	3.124	"6"
"挟"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"损害"	1	0	1	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	0.699	-0.239	0.364	-0.287	-0.042	-0.071	1.702	"1"
"换上"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"授证"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"採购"	1	0	0	1	0	0	0.211	0.481	0.493	0.563	0.095	0.156	0.699	-0.239	-0.246	0.315	-0.042	-0.071	1.612	"1"
"接触到"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"接近"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"控制"	0	0	2	2	0	0	0.422	0.962	0.986	1.127	0.191	0.313	-0.194	-0.478	0.592	0.5	-0.085	-0.142	1.991	"3"
"推进"	1	0	3	0	0	0	0.422	0.962	0.986	1.127	0.191	0.313	0.444	-0.478	1.312	-0.575	-0.085	-0.142	3.036	"3"
"提"	2	3	6	0	0	1	1.267	2.885	2.957	3.38	0.572	0.939	0.436	0.237	1.292	-1.724	-0.254	0.205	4.148	"4"
"提供"	3	3	1	4	0	5	1.69	3.846	3.943	4.506	0.762	1.252	0.629	-0.356	-1.171	-0.288	-0.339	2.211	4.994	"6"
"提供有"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"提升"	0	1	0	1	24	0	2.746	6.25	6.408	7.323	1.239	2.034	-1.26	-2.14	-3.195	-2.686	29.255	-0.92	39.456	"5"
"提升到"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"提昇"	0	0	3	8	0	0	1.162	2.644	2.711	3.098	0.524	0.861	-0.533	-1.314	0.273	2.558	-0.233	-0.389	5.3	"4"
"提纯"	1	0	0	1	0	0	0.211	0.481	0.493	0.563	0.095	0.156	0.699	-0.239	-0.246	0.315	-0.042	-0.071	1.612	"1"
"提高"	0	75	7	7	1	0	9.506	21.636	22.18	25.349	4.289	7.041	-4.363	31.533	-4.463	-5.803	-1.168	-3.184	50.514	"2"
