"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,56,2,6,44,8,0.9334,0.6052,58
"2",2,219,223,112,177,153,0.5,0.3444,442
