"","clusterID","团体qiú_bèn","机构jī_ɡòu","组织zǔ_zhī","集团jí_qiú","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,4,15,41,20,22,22,0.9719,1.0976,64
"2",2,22,9,1,0,9,12,11,0.7227,1.0916,32
"3",3,0,17,0,0,10,3,4,0,0.9587,17
"4",4,0,17,1,69,18,32,37,0.5542,1.0575,87
"5",5,0,0,36,0,13,18,5,0,0.9886,36
"6",6,0,6,23,0,6,21,2,0.5098,0.7441,29
"7",7,7,49,23,0,20,49,10,0.8702,0.9057,79
"8",8,0,3,18,12,7,14,12,0.9165,1.0605,33
"9",9,0,11,13,0,3,19,2,0.6897,0.652,24
"10",10,21,12,62,4,31,49,19,1.0074,1.0285,99
