"","clusterID","部队bù_duì","三军sān_jūn","军队jūn_duì","陆军liù_jūn","SG","TW","ML","variant_I","lect_I","TotalFreq"
"1",1,10,0,0,0,10,0,0,1,1,10
"2",2,103,18,85,43,49,72,128,0.3227,0.3866,249
"3",3,51,0,3,0,5,4,45,0.8951,0.7085,54
"4",4,118,3,62,4,41,34,112,0.5088,0.4398,187
