"","clusterID","仪式yí_shì","典礼diǎn_lǐ","祭典jì_diǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,61,0,52,7,9,0.815311418685121,0.612889273356401,68
"2",2,40,7,0,15,1,31,0.74649162516976,0.537347215934812,47
"3",3,84,4,1,30,27,32,0.892942810251231,0.334932458022977,89
"4",4,128,94,1,105,91,27,0.507168855195158,0.402883629270647,223
"5",5,15,0,0,0,13,2,1,0.768888888888889,15
"6",6,54,4,0,14,32,12,0.871581450653983,0.405469678953627,58
