"","clusterID","仪式yí_shì","典礼diǎn_lǐ","惯例ɡuàn_lì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,14,44,0,34,10,14,0.5527,0.9593,58
"2",2,28,4,0,9,1,22,0.3768,0.7227,32
"3",3,16,21,0,22,4,11,0.684,0.9102,37
"4",4,20,0,0,0,18,2,0,0.3251,20
"5",5,127,38,1,61,70,35,0.5732,1.0602,166
"6",6,5,18,0,14,5,4,0.5236,0.9381,23
"7",7,108,24,32,71,49,44,0.8752,1.0764,164
