"","clusterID","买卖mǎi_mài","交易jiāo_yì","生意shēnɡ_yī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,18,75,112,42,45,118,0.44,0.4215,205
"2",2,2,82,0,36,21,27,0.9535,0.3495,84
"3",3,31,177,3,87,82,42,0.7255,0.3607,211
