"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"－－"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"－－－"	0	1	1	0.291	0.191	1.518	-0.137	0.741	-0.373	1.251	"2"
"："	0	0	12	1.745	1.145	9.11	-0.819	-0.523	1.436	2.778	"3"
"!"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"！"	0	4	8	1.745	1.145	9.11	-0.819	1.659	-0.491	2.969	"2"
"？"	0	0	11	1.6	1.049	8.351	-0.751	-0.479	1.316	2.546	"3"
"…"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"……"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"（"	4	0	17	3.054	2.003	15.942	0.437	-0.914	0.393	1.744	"2"
"《"	0	0	6	0.873	0.572	4.555	-0.41	-0.261	0.718	1.389	"3"
"》"	0	0	6	0.873	0.572	4.555	-0.41	-0.261	0.718	1.389	"3"
"」"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"◆"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"172"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"1962年"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"1980年"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"1994年"	1	0	1	0.291	0.191	1.518	0.569	-0.087	-0.373	1.029	"1"
"2"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"２"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"26周年"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"３"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"31日"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"37"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"39"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"41"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"42"	0	0	3	0.436	0.286	2.277	-0.205	-0.131	0.359	0.695	"3"
"43"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"46"	0	1	1	0.291	0.191	1.518	-0.137	0.741	-0.373	1.251	"2"
"49"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"51"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"53"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"56"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"58"	0	0	3	0.436	0.286	2.277	-0.205	-0.131	0.359	0.695	"3"
"5时"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"6亿4000万"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"6时"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"70年代"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"891109"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"891114"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"891218"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"900107"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"900109"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"9时"	1	0	2	0.436	0.286	2.277	0.425	-0.131	-0.25	0.806	"1"
"AA"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"Benitez"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"DavidBeckham"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"DNA"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"Estefania"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"ictoria"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"Jane"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"Pierre"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"Saint"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"一七七"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"一两百"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"一同"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"一向"	1	0	2	0.436	0.286	2.277	0.425	-0.131	-0.25	0.806	"1"
"一往情深"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"一手"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"一起"	0	0	10	1.454	0.954	7.592	-0.683	-0.435	1.197	2.315	"3"
"丈夫"	0	33	0	4.8	3.148	25.052	-2.253	33.675	-20.403	56.331	"2"
"三"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"三轮车"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"上"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"上床"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"上班"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"下厨"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"下岗"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"下楼"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"下毒手"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"不久"	2	0	1	0.436	0.286	2.277	1.242	-0.131	-0.835	2.208	"1"
"不但"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不堪"	1	0	1	0.291	0.191	1.518	0.569	-0.087	-0.373	1.029	"1"
"不好"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不定"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不已"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"不幸"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不料"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不过"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不错"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"不顾"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"与"	6	9	29	6.4	4.198	33.403	-0.27	1.671	-1.057	2.998	"2"
"丑事"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"世盟"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"东窗事发"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"东陵路"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"丝加拉杜"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"个"	0	0	9	1.309	0.859	6.832	-0.614	-0.392	1.077	2.083	"3"
"个儿"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"中医师"	3	0	0	0.436	0.286	2.277	2.512	-0.131	-1.855	4.498	"1"
"中国籍"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"中士"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"中川"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"中情局"	2	0	0	0.291	0.191	1.518	1.675	-0.087	-1.237	2.999	"1"
"中看"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"中秋"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"中队"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"串通"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"丹弗丝"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"为何"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"主人"	0	0	3	0.436	0.286	2.277	-0.205	-0.131	0.359	0.695	"3"
"主人房"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"主动"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"主妇"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"主意"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"举出"	0	1	0	0.145	0.095	0.759	-0.068	1.02	-0.618	1.706	"2"
"举止"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"之后"	0	0	4	0.582	0.382	3.037	-0.273	-0.174	0.479	0.926	"3"
"之外"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"乖"	2	0	0	0.291	0.191	1.518	1.675	-0.087	-1.237	2.999	"1"
"九阴"	2	0	0	0.291	0.191	1.518	1.675	-0.087	-1.237	2.999	"1"
"也许"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"乩童"	1	0	0	0.145	0.095	0.759	0.837	-0.044	-0.618	1.499	"1"
"买"	0	0	6	0.873	0.572	4.555	-0.41	-0.261	0.718	1.389	"3"
"买菜"	0	0	1	0.145	0.095	0.759	-0.068	-0.044	0.12	0.232	"3"
"了"	0	0	4	0.582	0.382	3.037	-0.273	-0.174	0.479	0.926	"3"
"争执"	1	0	2	0.436	0.286	2.277	0.425	-0.131	-0.25	0.806	"1"
"事发"	0	0	3	0.436	0.286	2.277	-0.205	-0.131	0.359	0.695	"3"
"事情"	0	0	2	0.291	0.191	1.518	-0.137	-0.087	0.239	0.463	"3"
"二"	0	0	3	0.436	0.286	2.277	-0.205	-0.131	0.359	0.695	"3"
