"","clusterID","民意mín_yī","舆论yú_lún","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,19,0,4,11,4,0,0.9725,19
"2",2,99,1,44,20,36,0.056,1.0509,100
"3",3,29,0,20,6,3,0,0.8169,29
"4",4,0,44,5,33,6,0,0.7346,44
"5",5,7,13,8,9,3,0.6474,1.0104,20
"6",6,47,114,45,55,61,0.6039,1.0909,161
"7",7,11,0,4,1,6,0,0.9165,11
"8",8,114,2,74,9,33,0.0871,0.8427,116
