"","clusterID","汽车ɡài_chē","车子chē_zǐ","车辆chē_liànɡ","机动车jī_dònɡ_chē","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,55,1,4,0,7,33,20,0.845,0.427222222222222,60
"2",2,113,0,0,0,23,67,23,1,0.434411465267445,113
"3",3,46,8,5,0,6,32,21,0.633438667049698,0.431197931628842,59
"4",4,16,0,0,0,0,10,6,1,0.53125,16
"5",5,80,6,39,5,20,69,41,0.472307692307692,0.404852071005917,130
"6",6,35,26,59,2,25,54,43,0.361865090029562,0.362133834990594,122
