"","clusterID","体育bèn_yō","运动yǔn_dònɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,95,0,2,93,0,1,0.958781163434903,95
"2",2,0,34,10,10,14,1,0.342560553633218,34
"3",3,22,81,25,36,42,0.66405881798473,0.347346592515788,103
"4",4,52,15,16,43,8,0.652483849409668,0.483181109378481,67
"5",5,92,31,29,60,34,0.622975741952541,0.369951748297971,123
"6",6,15,7,4,12,6,0.566115702479339,0.40495867768595,22
"7",7,35,21,8,45,3,0.53125,0.669005102040816,56
