"","clusterID","模式mó_shì","样式yánɡ_shì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,9,0,9,0,0,0,0,9
"2",2,68,0,35,17,16,0,1.0289,68
"3",3,148,13,55,52,54,0.2806,1.0983,161
"4",4,24,1,7,13,5,0.1679,1.0184,25
"5",5,117,0,33,58,26,0,1.0391,117
"6",6,18,0,7,5,6,0,1.0893,18
"7",7,102,0,10,85,7,0,0.5635,102
