"","clusterID","研讨会xíng_tǎo_huì","论坛lún_tán","座谈zuò_tán","座谈会zuò_tán_huì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,46,0,0,8,26,15,0.885,0.4019,49
"2",2,13,9,1,20,13,26,4,0.3521,0.4657,43
"3",3,51,44,21,52,81,61,26,0.2722,0.3883,168
"4",4,68,73,13,34,82,70,36,0.3191,0.3656,188
"5",5,43,3,1,5,34,15,3,0.6967,0.5141,52
