"","clusterID","民意mín_yī","舆论yú_lún","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,19,0,4,11,4,1,0.42382271468144,19
"2",2,99,1,44,20,36,0.9802,0.3632,100
"3",3,29,0,20,6,3,1,0.529131985731272,29
"4",4,0,44,5,33,6,1,0.59400826446281,44
"5",5,7,13,8,9,3,0.545,0.385,20
"6",6,47,114,45,55,61,0.586590023533043,0.338374291115312,161
"7",7,11,0,4,1,6,1,0.43801652892562,11
"8",8,114,2,74,9,33,0.966111771700357,0.493906064209275,116
