"","clusterID","凌晨línɡ_chén","清晨qīng_chén","一大早yī_dà_zǎo","早晨zǎo_chén","大清早dà_qīng_zǎo","清早qīng_zǎo","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,28,15,0,0,0,0,16,27,0,0.5457,0.5327,43
"2",2,59,42,2,2,0,0,95,7,3,0.4765,0.8239,105
"3",3,56,8,0,18,0,0,4,12,66,0.5241,0.6716,82
"4",4,64,18,0,7,1,1,2,59,30,0.5399,0.5295,91
"5",5,103,40,17,11,3,5,68,66,45,0.3949,0.3435,179
