"","clusterID","成员chénɡ_yuán","队员duì_yuán","会员huì_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,91,0,7,73,14,0.1413,0.6734,94
"2",2,22,5,1,5,15,8,0.6161,0.9999,28
"3",3,44,0,3,3,23,21,0.2374,0.8853,47
"4",4,9,0,0,0,4,5,0,0.687,9
"5",5,0,0,18,2,0,16,0,0.3488,18
"6",6,43,12,30,23,29,33,0.9887,1.0879,85
"7",7,8,0,0,1,4,3,0,0.9743,8
"8",8,98,1,16,36,58,21,0.452,1.0193,115
"9",9,14,0,0,10,2,2,0,0.7963,14
"10",10,46,3,33,29,32,21,0.8116,1.0837,82
