"","clusterID","战略zhàn_è","战术zhàn_shú","策略cè_è","打法dá_fǎ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,41,0,0,0,2,38,1,0,0.3083,41
"2",2,146,4,13,0,14,115,34,0.3913,0.7839,163
"3",3,64,33,96,14,69,56,82,1.1942,1.0867,207
"4",4,51,1,0,0,10,26,16,0.095,1.0263,52
"5",5,21,0,0,0,12,4,5,0,0.9773,21
"6",6,0,0,16,0,16,0,0,0,0,16
