"","clusterID","年代nián_dài","时代shí_dài","时期shí_jī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,65,5,26,24,21,0.3277,1.0948,71
"2",2,1,20,60,10,52,19,0.6219,0.8829,81
"3",3,5,20,23,15,24,9,0.9529,1.0239,48
"4",4,5,45,43,36,21,36,0.8651,1.0708,93
"5",5,0,19,0,6,3,10,0,0.9933,19
"6",6,21,83,84,33,78,77,0.9658,1.036,188
