"","clusterID","途径tú_jìnɡ","路径lù_jìnɡ","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,53,0,0,0,0,10,34,9,1,0.476,53
"2",2,83,2,60,22,67,61,113,60,0.2825,0.3669,234
"3",3,0,0,0,32,0,6,24,2,1,0.6016,32
"4",4,2,0,9,0,15,4,13,9,0.4586,0.3935,26
"5",5,2,4,30,19,100,62,57,36,0.4696,0.3492,155
