"","clusterID","演员yǎn_yuán","艺人yì_rén","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,94,181,62,34,179,0.55,0.4898,275
"2",2,57,16,16,20,37,0.6577,0.38,73
"3",3,13,18,11,0,20,0.513,0.5421,31
"4",4,101,20,44,8,69,0.7241,0.4618,121
