"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"【"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"】"	0	0	0	2	0	0.211	0.316	0.124	0.634	0.715	-0.097	-0.149	-0.056	0.998	-0.384	1.684	"4"
"1483"	0	1	0	0	0	0.106	0.158	0.062	0.317	0.357	-0.048	0.801	-0.028	-0.166	-0.192	1.235	"2"
"3万"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"45"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"4月"	0	1	0	0	1	0.211	0.316	0.124	0.634	0.715	-0.097	0.536	-0.056	-0.331	0.231	1.251	"2"
"891125"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"9000104"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"900109"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"95"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"ABM"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"Alessi"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"CD"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"DSC-P"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"DVD"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"FreshAroma"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"Linux"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"MP3"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"OK"	0	0	0	2	0	0.211	0.316	0.124	0.634	0.715	-0.097	-0.149	-0.056	0.998	-0.384	1.684	"4"
"WAP"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
"一体"	0	0	0	2	0	0.211	0.316	0.124	0.634	0.715	-0.097	-0.149	-0.056	0.998	-0.384	1.684	"4"
"一如"	1	0	0	0	1	0.211	0.316	0.124	0.634	0.715	0.699	-0.149	-0.056	-0.331	0.231	1.466	"1"
"一定"	0	0	1	0	3	0.423	0.632	0.248	1.268	1.43	-0.194	-0.299	0.646	-0.662	0.874	2.675	"5"
"一般"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"一般来说"	0	0	0	1	0	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	0.499	-0.192	0.842	"4"
"三国"	1	0	0	0	0	0.106	0.158	0.062	0.317	0.357	0.976	-0.075	-0.028	-0.166	-0.192	1.437	"1"
"三季度"	0	0	0	0	1	0.106	0.158	0.062	0.317	0.357	-0.048	-0.075	-0.028	-0.166	0.447	0.764	"5"
