"","clusterID","今后jīn_hòu","将来jiānɡ_lái","未来wèi_lái","以后sì_hòu","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,2,12,0,11,1,3,0.6277,0.7299,15
"2",2,17,32,55,7,54,19,38,1.1682,1.0196,111
"3",3,23,11,53,20,47,33,27,1.2258,1.0716,107
"4",4,6,0,20,0,12,8,6,0.5402,1.0579,26
"5",5,16,1,8,0,10,13,2,0.779,0.9086,25
"6",6,12,1,79,3,47,27,21,0.5718,1.0394,95
"7",7,14,0,34,0,24,18,6,0.6036,0.9743,48
"8",8,15,0,58,0,24,27,22,0.5079,1.0951,73
