"","clusterID","领导lǐnɡ_dǎo","头目tóu_mù","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","首领shǒu_lǐnɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,0,0,0,0,4,16,2,1,0.5702,22
"2",2,92,1,1,7,0,8,84,9,0.8347,0.7059,101
"3",3,3,0,14,6,0,3,17,3,0.4556,0.5803,23
"4",4,16,1,18,13,3,6,26,19,0.2918,0.4125,51
"5",5,3,0,56,27,0,26,51,9,0.5238,0.454,86
"6",6,22,0,13,0,0,6,22,7,0.5331,0.4645,35
"7",7,26,0,25,5,0,11,27,18,0.4228,0.3744,56
"8",8,10,0,2,17,0,15,4,10,0.4673,0.4055,29
"9",9,45,0,15,36,1,27,12,58,0.377,0.4503,97
