"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"5\""	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_5\""	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_5\""	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"……"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"\"
"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"《"	0	1	0	0	0	0	0	0	20	1	3.024	1.6	1.574	3.413	6.57	0.009	1.061	0.663	0.946	3.139	-1.413	-0.286	-0.709	-1.611	-3.389	-0.004	-0.472	-0.292	25.002	-0.802	33.98	"8"
"》"	1	1	0	0	0	0	0	0	21	1	3.299	1.746	1.717	3.723	7.167	0.01	1.158	0.723	1.032	3.424	-0.858	-0.327	-0.774	-1.757	-3.697	-0.004	-0.515	-0.319	25.444	-0.906	34.601	"8"
"─"	0	2	0	0	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	2.276	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	-0.134	3.164	"2"
"■"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"００"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"１"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"10000"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"12"	0	0	2	1	1	0	0	0	0	0	0.55	0.291	0.286	0.621	1.195	0.002	0.193	0.121	0.172	0.571	-0.257	-0.131	1.555	0.309	-0.184	-0.001	-0.086	-0.053	-0.076	-0.267	2.919	"3"
"12时"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"13"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"14"	0	0	1	1	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	0.86	0.543	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.147	"3"
"1442"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"15"	0	0	2	0	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	2.291	-0.146	-0.308	0	-0.043	-0.027	-0.038	-0.134	3.181	"3"
"1500万"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"16"	0	0	1	1	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	0.86	0.543	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.147	"3"
"17"	0	0	2	0	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	2.291	-0.146	-0.308	0	-0.043	-0.027	-0.038	-0.134	3.181	"3"
"18"	0	0	3	1	0	0	0	0	0	0	0.55	0.291	0.286	0.621	1.195	0.002	0.193	0.121	0.172	0.571	-0.257	-0.131	2.858	0.309	-0.616	-0.001	-0.086	-0.053	-0.076	-0.267	4.654	"3"
"1989年"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"1周年"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"2000多"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"2001"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"2003年度"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"3.6"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"3000万"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"372"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"500"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"5000"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"500万"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"55"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"5566"	0	0	0	0	0	0	0	0	1	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	1.366	-0.067	1.823	"8"
"60万"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"65336726"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"669"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"80万"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"828"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"891017"	0	0	0	1	0	0	0	0	0	1	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	0.543	-0.308	0	-0.043	-0.027	-0.038	0.577	1.794	"9"
"891019"	2	0	0	0	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	1.724	-0.066	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.55	"1"
"891022"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"891028"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"891102"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"891103"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"891106"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"891116"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"891117"	1	0	0	0	1	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	0.592	-0.066	-0.064	-0.146	0.294	0	-0.043	-0.027	-0.038	-0.134	1.404	"1"
"891129"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"900109"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"900110"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"936"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"94％"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"A"	4	0	0	0	0	0	0	0	0	2	0.825	0.436	0.429	0.931	1.792	0.002	0.289	0.181	0.258	0.856	2.372	-0.197	-0.193	-0.439	-0.924	-0.001	-0.129	-0.08	-0.115	0.685	5.135	"1"
"e"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"E"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"ESPN"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"Hip"	0	0	0	0	0	0	0	0	0	2	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	1.691	2.511	"9"
"Hop"	0	0	0	0	0	0	0	0	0	2	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	1.691	2.511	"9"
"IQ"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"MTV"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"pub"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"StarHub"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"SWEETY"	0	0	0	0	0	0	0	0	1	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	1.366	-0.067	1.823	"8"
"VCD（Vol"	0	0	0	0	0	0	0	0	1	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	1.366	-0.067	1.823	"8"
"一万多"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"一代"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"一千六百多"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"一年级"	0	0	0	1	0	0	0	0	0	1	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	0.543	-0.308	0	-0.043	-0.027	-0.038	0.577	1.794	"9"
"一早"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"一般"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"一般型"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"一阵子"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"七几"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"七星"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"万华"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"三三三"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"三十万"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"三日"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"三立"	0	0	0	0	0	0	0	0	1	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	1.366	-0.067	1.823	"8"
"上冰"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"上前"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"上升"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"上网"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"上马"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"下手"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"不慎"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"不成"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"不敌"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"不满"	0	0	0	2	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	1.619	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.427	"4"
"不良"	0	2	0	1	2	0	0	0	0	0	0.687	0.364	0.358	0.776	1.493	0.002	0.241	0.151	0.215	0.713	-0.321	1.341	-0.161	0.244	0.329	-0.001	-0.107	-0.066	-0.095	-0.334	2.999	"2"
"与赛"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"专"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"专属"	0	1	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	1.138	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.581	"2"
"专门"	0	0	1	0	1	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	0.86	-0.146	0.294	0	-0.043	-0.027	-0.038	-0.134	1.736	"3"
"世代"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"世界"	16	0	1	0	3	0	3	0	0	0	3.162	1.673	1.645	3.568	6.869	0.009	1.109	0.693	0.989	3.282	8.82	-0.754	-0.299	-1.684	-1.257	-0.004	1.014	-0.306	-0.439	-1.538	16.115	"1"
"世界盃"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"两万"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"严重"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"个人赛"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"个儿"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"个头"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"中华"	3	0	0	0	2	0	0	0	0	0	0.687	0.364	0.358	0.776	1.493	0.002	0.241	0.151	0.215	0.713	1.68	-0.164	-0.161	-0.366	0.329	-0.001	-0.107	-0.066	-0.095	-0.334	3.303	"1"
"中华民族"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"中华队"	3	0	0	0	0	0	0	0	0	0	0.412	0.218	0.215	0.465	0.896	0.001	0.145	0.09	0.129	0.428	2.585	-0.098	-0.097	-0.22	-0.462	-0.001	-0.064	-0.04	-0.057	-0.201	3.825	"1"
"中坜市"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"中学"	1	0	0	0	0	0	0	0	0	1	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	0.592	-0.066	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	0.577	1.861	"1"
"中学生"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"中小学"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"中心"	1	0	0	0	10	0	0	0	0	0	1.512	0.8	0.787	1.707	3.285	0.004	0.531	0.332	0.473	1.57	-0.267	-0.361	-0.355	-0.805	4.345	-0.002	-0.236	-0.146	-0.21	-0.735	7.462	"5"
"为所欲为"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"主体"	0	0	0	0	0	0	1	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	1.317	-0.013	-0.019	-0.067	1.772	"6"
"主办"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"主因"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"主题"	0	1	0	0	1	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	0.853	-0.064	-0.146	0.294	0	-0.043	-0.027	-0.038	-0.134	1.727	"2"
"举办"	5	1	0	1	4	0	1	2	0	0	1.924	1.018	1.002	2.172	4.181	0.006	0.675	0.422	0.602	1.998	1.475	-0.137	-0.451	-0.472	-0.23	-0.002	0.301	1.187	-0.267	-0.936	5.458	"1"
"义务教育"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
