"","clusterID","事故shì_ɡù","不测bú_cè","灾祸zāi_huò","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,37,0,0,9,27,1,0,0.6714,37
"2",2,74,0,0,13,56,5,0,0.6985,74
"3",3,71,8,5,28,40,16,0.534,1.0354,84
"4",4,61,0,0,13,30,18,0,1.0386,61
"5",5,47,0,0,10,34,3,0,0.7391,47
"6",6,64,0,0,10,42,12,0,0.8803,64
"7",7,17,0,0,4,5,8,0,1.0551,17
"8",8,25,0,0,1,15,9,0,0.803,25
"9",9,45,0,0,7,33,5,0,0.761,45
"10",10,46,0,0,3,43,0,0,0.2411,46
