"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"是非"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"收购"	0	0	0	1	8	0	0.698	1.818	0.87	1.405	1.975	2.234	-0.316	-0.882	-0.398	-0.238	4.409	-1.115	7.358	"5"
"收取"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"收入"	0	0	0	0	0	13	1.008	2.626	1.257	2.029	2.853	3.226	-0.456	-1.274	-0.574	-0.958	-1.399	7.868	12.529	"6"
"收益"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"首创"	0	0	0	1	1	0	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	0.541	0.408	-0.248	1.551	"4"
"首期"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"受"	0	2	1	0	0	0	0.233	0.606	0.29	0.468	0.658	0.745	-0.105	0.975	0.58	-0.221	-0.323	-0.372	2.576	"2"
"受到"	0	4	2	0	0	0	0.465	1.212	0.58	0.937	1.317	1.489	-0.21	1.755	0.967	-0.442	-0.646	-0.743	4.763	"2"
"受损"	0	0	10	0	0	0	0.776	2.02	0.967	1.561	2.195	2.482	-0.351	-0.98	10.146	-0.737	-1.076	-1.239	14.529	"3"
"受益"	0	0	0	0	1	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	0.659	-0.124	1.034	"5"
"售卖"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"疏忽"	0	1	0	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	0.695	-0.044	-0.074	-0.108	-0.124	1.08	"2"
"双倍"	0	0	1	0	0	0	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	1.015	-0.074	-0.108	-0.124	1.454	"3"
"双方"	0	5	0	0	0	0	0.388	1.01	0.483	0.781	1.097	1.241	-0.175	3.473	-0.221	-0.369	-0.538	-0.619	5.395	"2"
"双重"	0	0	0	0	0	1	0.078	0.202	0.097	0.156	0.219	0.248	-0.035	-0.098	-0.044	-0.074	-0.108	0.605	0.964	"6"
"水供"	0	0	0	0	0	2	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	-0.147	-0.215	1.21	1.926	"6"
"水泥"	0	0	0	2	0	0	0.155	0.404	0.193	0.312	0.439	0.496	-0.07	-0.196	-0.088	1.613	-0.215	-0.248	2.43	"4"
"税"	0	0	0	0	0	3	0.233	0.606	0.29	0.468	0.658	0.745	-0.105	-0.294	-0.133	-0.221	-0.323	1.816	2.892	"6"
