"","clusterID","兄弟kuànɡ_dì","哥哥ɡē_ɡē","弟弟dì_dì","亲兄弟qīn_kuànɡ_dì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,29,6,0,2,3,34,0.7418,0.4692,39
"2",2,1,30,0,0,0,1,30,0.1425,0.1425,31
"3",3,0,9,18,0,2,3,22,0.6365,0.6038,27
"4",4,7,106,42,1,12,12,132,0.7875,0.536,156
"5",5,9,18,25,0,5,12,35,1.0229,0.83,52
"6",6,20,0,0,0,1,6,13,0,0.791,20
"7",7,85,11,31,2,38,36,55,0.892,1.0797,129
"8",8,46,0,0,0,11,13,22,0,1.052,46
