"","clusterID","凌晨línɡ_chén","清晨qīng_chén","一大早yī_dà_zǎo","早晨zǎo_chén","大清早dà_qīng_zǎo","清早qīng_zǎo","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,28,15,0,0,0,0,16,27,0,0.6467,0.6601,43
"2",2,59,42,2,2,0,0,95,7,3,0.8413,0.3727,105
"3",3,56,8,0,18,0,0,4,12,66,0.8204,0.6033,82
"4",4,64,18,0,7,1,1,2,59,30,0.8645,0.7307,91
"5",5,103,40,17,11,3,5,68,66,45,1.2163,1.0827,179
