"","clusterID","战略zhàn_è","战术zhàn_shú","策略cè_è","打法dá_fǎ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,41,0,0,0,2,38,1,1,0.861986912552052,41
"2",2,146,4,13,0,14,115,34,0.809251383190937,0.54864691934209,163
"3",3,64,33,96,14,69,56,82,0.34066139233121,0.341221498751429,207
"4",4,51,1,0,0,10,26,16,0.962278106508876,0.381656804733728,52
"5",5,21,0,0,0,12,4,5,1,0.419501133786848,21
"6",6,0,0,16,0,16,0,0,1,1,16
