"","clusterID","角色ɡǔ_sè","人物rén_wù","任务lìn_wù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,61,0,0,21,9,31,0,0.9934,61
"2",2,70,96,70,79,66,91,1.0869,1.0901,236
"3",3,0,21,0,10,0,11,0,0.692,21
"4",4,2,0,107,14,86,9,0.0915,0.6565,109
"5",5,0,0,36,4,26,6,0,0.7778,36
"6",6,0,0,37,5,24,8,0,0.8824,37
