"","clusterID","协定xié_dìnɡ","协议xié_yì","公约ɡōnɡ_yāo","条约tiáo_yāo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,5,96,0,0,43,46,12,0.9059,0.4028,101
"2",2,23,66,40,32,49,81,31,0.2897,0.3828,161
"3",3,18,55,0,9,20,40,22,0.5101,0.3694,82
"4",4,50,78,1,27,39,73,44,0.3827,0.361,156
