"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"离婚"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"种"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"秩序"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"积极性"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"移送"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"程序"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"程度"	0	0	0	7	0	0	2	0.281	0.348	1.88	4.115	0.565	0.521	1.292	-0.124	-0.154	-0.916	1.264	-0.253	-0.233	0.423	3.367	"4"
"税收"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"稳定"	0	0	0	2	0	0	1	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	-0.305	0.361	-0.084	-0.078	0.43	1.35	"7"
"稻米局"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"窃案"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"窃盗"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"立法"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"管制"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
