"cluster"	"sigcol"
"3"	"组成"
"3"	"欧洲"
"3"	"名"
"3"	"政府"
"3"	"缴税"
"1"	"武"
"1"	"民兵"
"2"	"乡"
"2"	"老"
"2"	"红军"
"2"	"烈军属"
"2"	"伤残"
"2"	"军人"
"2"	"退伍"
"2"	"优抚"
"3"	"异国"
"3"	"登舰"
"3"	"无不"
"2"	"转业"
"2"	"退伍"
"2"	"军嫂"
"2"	"国防"
"3"	"缩减"
"3"	"15万"
"3"	"投入"
"3"	"1.7"
"3"	"美国"
"3"	"明火执仗"
"3"	"资助"
"3"	"颠覆"
"3"	"民选"
"3"	"政府"
"1"	"平民"
"1"	"丧生"
"1"	"架"
"1"	"直升机"
"1"	"载有"
"1"	"2000多"
"1"	"名"
"1"	"架"
"1"	"搏斗"
"1"	"伊拉克"
"1"	"民兵"
"3"	"暑假"
"1"	"100"
"1"	"名"
"1"	"美国"
"1"	"命运"
"1"	"可能"
"1"	"美国"
"1"	"陆军"
"1"	"装甲师"
"1"	"1.7"
"1"	"名"
"1"	"可能"
"1"	"名"
"1"	"670"
"1"	"名"
"1"	"1190"
"1"	"名"
"1"	"企图"
"1"	"袭击"
"1"	"开枪"
"1"	"射击"
"1"	"名"
"1"	"阿富汗"
"1"	"还击"
"1"	"开枪"
"1"	"射击"
"1"	"名"
"1"	"富汗"
"1"	"丧生"
"1"	"吉林省"
"1"	"海外"
"1"	"空难"
"1"	"丧生"
"1"	"牙"
"1"	"哀悼"
"1"	"乌克兰"
"1"	"西班牙"
"1"	"名"
"1"	"乌克兰"
"1"	"62"
"1"	"名"
"1"	"西班牙"
"1"	"丧生"
"1"	"西班牙"
"1"	"死亡"
"1"	"5000"
"1"	"名"
"1"	"宪兵"
"1"	"3000"
"1"	"名"
"1"	"1400"
"1"	"名"
"1"	"警察"
"1"	"1200"
"1"	"名"
"1"	"消防员"
"1"	"维"
"1"	"部队"
"1"	"700"
"1"	"名"
"1"	"法国"
"1"	"阿利奥"
"1"	"马里"
"1"	"维"
"1"	"部队"
"3"	"政变"
"3"	"忠于"
"3"	"部队"
"3"	"政变"
"3"	"激烈"
"3"	"战斗"
"3"	"毛里塔尼亚"
"3"	"政府"
"3"	"毛里塔尼亚"
"3"	"部分"
"3"	"8日"
"3"	"凌晨"
"3"	"首都"
"3"	"努瓦克"
"3"	"肖特"
"3"	"发动"
"3"	"政变"
"3"	"忠于"
"1"	"名"
"1"	"身穿"
"1"	"工作服"
"1"	"批"
"1"	"撤离"
"1"	"罗空"
"1"	"军"
"1"	"布加勒斯特"
"1"	"轮胎"
"1"	"投掷"
"1"	"石块"
"1"	"军火库"
"1"	"立即"
"1"	"疏散"
"1"	"伤亡"
"3"	"引渡"
"3"	"美国"
"3"	"公民"
"3"	"据悉"
"3"	"巴尔干"
"3"	"在逃"
"3"	"毛里塔尼亚"
"3"	"8日"
"3"	"凌晨"
"3"	"首都"
"3"	"努瓦克"
"3"	"肖特"
"3"	"发动"
"3"	"政变"
"3"	"土耳其"
"3"	"缩短"
"3"	"服"
"3"	"役期"
"3"	"宣布"
"3"	"解散"
"3"	"伊拉克"
"3"	"军队"
"3"	"众多"
"3"	"伊拉克"
"3"	"失业"
"3"	"军人"
"3"	"美国"
"3"	"塔迪奇"
"3"	"克尔加"
"3"	"呼吁"
"3"	"入伍"
"3"	"亲属"
"3"	"保护"
"1"	"大约"
"1"	"100"
"1"	"名"
"1"	"美国"
"1"	"袭击"
"1"	"土耳其"
"1"	"伊拉克"
"3"	"科博"
"3"	"少校"
"3"	"为首"
"3"	"圣普"
"3"	"政变"
"3"	"葡萄"
"3"	"牙"
"3"	"美国"
"3"	"驻"
"3"	"圣普"
"1"	"30多"
"1"	"名"
"1"	"伊拉克"
"1"	"遇袭"
"1"	"身亡"
"1"	"美国"
"3"	"大胡"
"3"	"印巴"
"3"	"道出"
"3"	"共和国"
"3"	"身份证"
"3"	"公民"
"3"	"持"
"3"	"军人"
"3"	"效"
"3"	"证件"
"3"	"16日"
"3"	"圣普"
"3"	"数百"
"3"	"名"
"3"	"发动"
"3"	"流血"
"3"	"政变"
"3"	"叛乱"
"3"	"兵变"
"3"	"最后通牒"
"3"	"政府"
"1"	"驻"
"1"	"伊拉克"
"1"	"部队"
"1"	"2300"
"1"	"450"
"1"	"名"
"1"	"波兰"
"1"	"政府"
"1"	"3000"
"1"	"名"
"1"	"消防员"
"1"	"380"
"1"	"名"
"1"	"781"
"1"	"消防车"
"1"	"架"
"1"	"直升机"
"1"	"具"
"1"	"尸体"
"1"	"名"
"1"	"联邦"
"1"	"部队"
"1"	"38"
"1"	"身份"
"1"	"架"
"1"	"名"
"1"	"当场"
"1"	"死亡"
"1"	"坠机"
"1"	"警察"
"1"	"萨摩亚"
"1"	"巴布亚新几内亚"
"1"	"警察"
"1"	"伊拉克"
"1"	"派遣"
"3"	"废除"
"3"	"赦免"
"3"	"犯罪"
"1"	"兵"
"1"	"待命"
"1"	"胡图族"
"1"	"同情"
"1"	"胡图族"
"1"	"民兵"
"1"	"杀害"
"1"	"1994年"
"1"	"卢旺达"
"3"	"1976年"
"3"	"1983年"
"3"	"执政"
"3"	"阿根廷"
"3"	"军政府"
"3"	"反对派"
"3"	"实行"
"1"	"三军"
"1"	"纵队"
"1"	"革命"
"1"	"纵队"
"1"	"名"
"1"	"手持"
"1"	"步枪"
"1"	"休假"
"1"	"显然"
"1"	"及其"
"1"	"家属"
"1"	"抱怨"
"1"	"以色列"
"1"	"上校"
"1"	"色列"
"1"	"失踪"
"1"	"以色列"
"1"	"军方"
"1"	"当权派"
"1"	"呼吁"
"1"	"退出"
"1"	"军方"
"1"	"军方"
"1"	"干预"
"1"	"事例"
"3"	"国防"
"3"	"透明度"
"3"	"邀请"
"3"	"美国"
"3"	"军事"
"3"	"演习"
"3"	"美国"
"3"	"前"
"3"	"协会"
"3"	"吉尔"
"3"	"上校"
"3"	"研究"
"3"	"量身定"
"3"	"适合"
"3"	"药丸"
"3"	"日常"
"3"	"膳食"
"3"	"亚齐人"
"3"	"厌倦"
"3"	"那里"
"1"	"事件"
"1"	"某些"
"1"	"前"
"3"	"军人"
"3"	"人权"
"1"	"名"
"1"	"以色列"
"1"	"电台"
"1"	"派"
"1"	"参加"
"1"	"波斯湾"
"1"	"战争"
"1"	"退"
"1"	"伍"
"1"	"罹患"
"1"	"警告"
"3"	"军人"
"3"	"支配"
"3"	"干政"
"3"	"参政"
"3"	"借重"
"1"	"巴尔干半岛"
"1"	"服役"
"1"	"欧洲"
"1"	"患"
"1"	"巴尔干"
"1"	"症"
"3"	"气愤"
"3"	"指责"
"3"	"美国"
"3"	"政府"
"3"	"隐瞒"
"3"	"贫铀"
"3"	"武器"
"3"	"犯罪"
"3"	"至少"
"3"	"翁山淑枝"
"3"	"缅甸"
"3"	"政府"
"3"	"翁山淑枝"
"3"	"翁山淑枝"
"3"	"1994年"
"3"	"政府"
"3"	"菲"
"3"	"国民"
"3"	"服役"
"3"	"备"
"3"	"1992年"
"3"	"翁山淑枝"
"3"	"1994年"
"3"	"政府"
"3"	"印度"
"3"	"瓦希德"
"3"	"执政"
"3"	"干政"
"3"	"军人"
"3"	"传言"
"3"	"瓦希德"
"3"	"全无"
"3"	"背景"
"3"	"保龄球赛"
"3"	"战备"
"3"	"协会"
"3"	"权"
"3"	"军协"
"3"	"战备"
"3"	"协会"
"3"	"耗资"
"3"	"600万"
"3"	"支持"
"3"	"埃斯特拉达"
"3"	"可能"
"3"	"发动"
"3"	"流血"
"3"	"政变"
"3"	"放弃"
"3"	"埃斯特拉达"
"1"	"身份"
"1"	"38"
"1"	"具"
"1"	"家属"
"1"	"尸体"
"1"	"3万7000"
"1"	"名"
"1"	"军事"
"1"	"认出"
"1"	"脱下"
"1"	"军服"
"1"	"平民"
"1"	"攻击"
"1"	"激光"
"1"	"制导"
"1"	"炸弹"
"3"	"战场"
"3"	"协会"
"3"	"协会"
"3"	"中医院"
"3"	"战备"
"3"	"疑染炎"
"3"	"陈笃"
"3"	"名"
"3"	"回营"
"3"	"训练"
"1"	"伊拉克"
"1"	"平民"
"1"	"拉克"
"1"	"海湾战争"
"3"	"称号"
"3"	"印尼"
"3"	"救灾队"
"3"	"雅加达"
"3"	"资深"
"3"	"20％"
"3"	"比率"
"3"	"战备"
"3"	"国民"
"3"	"服役"
"3"	"军人"
"3"	"介入"
"3"	"国防部"
"1"	"43"
"1"	"女嫌"
"1"	"凶"
"1"	"退役"
"1"	"机关枪"
"1"	"训练"
"1"	"枪杀"
"1"	"印尼"
"1"	"亚齐"
"1"	"军事"
"1"	"名"
"1"	"印尼"
"1"	"名"
"3"	"捕"
"3"	"翁山"
"3"	"淑枝"
"3"	"支持者"
"3"	"同"
"3"	"亲"
"3"	"政府"
"3"	"反对"
"3"	"缅甸"
"3"	"翁山淑枝"
"3"	"护送"
"3"	"仰光"
"3"	"军方"
"3"	"唯有"
"3"	"统治"
"3"	"美国"
"3"	"服役"
"3"	"政府"
"3"	"美国"
"3"	"审讯"
"3"	"缅甸"
"3"	"冻结"
"3"	"缅"
"3"	"甸"
"3"	"政府"
"3"	"美国"
"3"	"抗议"
"3"	"缅甸"
"3"	"逮捕"
"1"	"非"
"1"	"军方"
"1"	"退役"
"1"	"部分"
"1"	"员"
"1"	"转入"
"1"	"部队"
"1"	"部分"
"1"	"军方"
"1"	"死"
"1"	"伤"
"1"	"大约"
"1"	"2000"
"1"	"名"
"1"	"前"
"1"	"伊拉克"
"1"	"烈日"
"1"	"示威"
"1"	"抗议"
"1"	"遭"
"1"	"美国"
"1"	"批"
"1"	"前"
"1"	"伊拉克"
"1"	"美国"
"1"	"解散"
"3"	"恫言"
"3"	"政府"
"3"	"释放翁山"
"3"	"淑枝"
"3"	"缅甸"
"3"	"施压"
"3"	"旨"
"3"	"保护"
"3"	"美国"
"3"	"免"
"3"	"国际刑"
"1"	"名"
"1"	"退役"
"3"	"遭"
"3"	"缅甸"
"3"	"逮捕"
"3"	"泰国"
"3"	"放下"
"3"	"获释"
"3"	"政府"
"3"	"领袖"
"3"	"丹瑞"
"3"	"翁山淑枝"
"3"	"泰"
"3"	"公务员"
