"","clusterID","军人jūn_rén","士兵shì_bīnɡ","战士zhàn_shì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,27,177,5,31,156,22,0.7345,0.5902,209
"2",2,136,94,61,55,144,92,0.3667,0.3805,291
