"","clusterID","团体qiú_bèn","机构jī_ɡòu","组织zǔ_zhī","集团jí_qiú","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,26,13,16,41,29,34,33,0.3019,0.3349,96
"2",2,0,34,1,69,28,35,41,0.5472,0.3412,104
"3",3,0,0,36,0,13,18,5,1,0.3997,36
"4",4,0,6,23,0,6,21,2,0.6718,0.5719,29
"5",5,28,75,116,16,61,131,43,0.3643,0.4116,235
