"","clusterID","研讨会xíng_tǎo_huì","论坛lún_tán","座谈zuò_tán","座谈会zuò_tán_huì","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,3,46,0,0,8,26,15,0.2303,0.9945,49
"2",2,13,9,1,20,13,26,4,1.1325,0.8868,43
"3",3,51,44,21,52,81,61,26,1.3357,1.0083,168
"4",4,40,27,13,25,70,21,14,1.3172,0.8609,105
"5",5,28,46,0,9,12,49,22,0.9346,0.9427,83
"6",6,24,0,0,0,14,9,1,0,0.8146,24
"7",7,19,3,1,5,20,6,2,0.9291,0.7589,28
