"","clusterID","评价pín_jià","裁判cái_pàn","判断pàn_duàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,50,0,0,2,43,5,1,0.7512,50
"2",2,0,31,0,4,19,8,1,0.458896982310094,31
"3",3,0,81,1,10,31,41,0.975907198096371,0.407792980368828,82
"4",4,5,1,28,5,11,18,0.700692041522491,0.406574394463668,34
"5",5,34,3,0,3,25,9,0.850986121256392,0.522279035792549,37
"6",6,35,1,32,21,39,8,0.48659169550173,0.438148788927336,68
"7",7,68,45,85,46,77,75,0.353892459953066,0.34868890929497,198
