"","clusterID","报告bào_ɡào","报道bào_dǎo","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,2,69,27,44,0,0.9452,0.5287,71
"2",2,0,85,53,32,0,1,0.5305,85
"3",3,268,76,131,103,110,0.6558,0.3369,344
