"","clusterID","今后jīn_hòu","将来jiānɡ_lái","最近cuō_jìn","未来wèi_lái","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,8,11,62,3,25,20,39,0.8333,1.0586,84
"2",2,12,3,39,33,30,27,30,1.1167,1.0974,87
"3",3,5,0,6,11,3,8,11,1.0377,0.9861,22
"4",4,15,0,5,27,18,20,9,0.9213,1.0477,47
"5",5,14,1,0,44,41,12,6,0.6292,0.8093,59
"6",6,6,0,0,22,11,11,6,0.5196,1.0642,28
"7",7,23,7,1,93,71,38,15,0.7294,0.9372,124
"8",8,2,1,0,10,5,5,3,0.6871,1.0734,13
"9",9,6,7,0,23,19,5,12,0.9033,0.9777,36
