"","clusterID","时代shí_dài","时期shí_jī","纪元jǐ_yuán","年代nián_dài","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,25,21,5,0,8,31,12,0.419454056132257,0.449442522106882,51
"2",2,92,27,0,0,26,56,37,0.649177317986018,0.365863992655886,119
"3",3,12,14,0,5,3,21,7,0.379812695109261,0.519250780437045,31
"4",4,0,11,0,0,0,7,4,1,0.537190082644628,11
"5",5,21,0,0,0,7,6,8,1,0.337868480725624,21
"6",6,62,58,0,2,47,33,42,0.484547164740661,0.340096748185972,122
"7",7,40,73,1,31,26,51,68,0.375315101070155,0.375790725326992,145
