"","clusterID","运动员yǔn_dònɡ_yuán","选手xuǎn_shǒu","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,65,48,24,74,15,0.511316469574751,0.491581173153732,113
"2",2,1,75,4,65,7,0.974030470914127,0.742728531855956,76
"3",3,12,126,32,90,16,0.841209829867675,0.492543583280823,138
"4",4,15,28,9,27,7,0.545700378583018,0.464575446187128,43
"5",5,5,38,4,28,11,0.79448350459708,0.498107084910763,43
"6",6,0,14,3,8,3,1,0.418367346938775,14
"7",7,32,41,10,54,9,0.507599924939013,0.581159692249953,73
