"","clusterID","丈夫zhànɡ_fū","先生xiān_shēnɡ","老公lǎo_ɡōnɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,171,22,18,21,25,165,0.674939915994699,0.635452932324072,211
"2",2,0,11,0,7,4,0,1,0.537190082644628,11
"3",3,8,100,3,30,41,40,0.817547277006737,0.339339339339339,111
"4",4,0,21,0,3,2,16,1,0.609977324263038,21
"5",5,0,10,0,1,1,8,1,0.66,10
"6",6,13,93,1,17,31,59,0.770285614464145,0.413223862346056,107
"7",7,0,29,0,1,4,24,1,0.705112960760999,29
