"","clusterID","作用zuō_yòng","功效ɡōnɡ_xiào","功能ɡōnɡ_nái","机能jī_nái","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,75,1,6,0,8,65,9,0.842058298631767,0.649910767400357,82
"2",2,14,1,6,0,7,11,3,0.528344671201814,0.405895691609977,21
"3",3,38,1,0,0,1,32,6,0.950032873109796,0.697567389875082,39
"4",4,31,0,0,0,0,30,1,1,0.937565036420396,31
"5",5,23,0,0,0,0,11,12,1,0.500945179584121,23
"6",6,25,7,28,2,15,35,12,0.380332986472425,0.414672216441207,62
"7",7,110,4,123,5,56,110,76,0.465644423195137,0.358786968103272,242
