"","clusterID","工资ɡōnɡ_zī","报酬bào_chóu","薪水xīn_shuǐ","薪资xīn_zī","薪酬xīn_chóu","薪金xīn_jīn","酬劳chóu_láo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,35,2,20,12,5,10,3,28,21,38,1.5932,1.0698,87
"2",2,14,0,16,7,6,12,0,18,7,30,1.5437,0.9585,55
"3",3,17,6,15,2,15,14,21,21,8,61,1.8062,0.8183,90
"4",4,75,13,22,19,6,19,1,40,54,61,1.5092,1.0839,155
"5",5,32,0,1,1,0,9,0,5,0,38,0.7222,0.3594,43
"6",6,24,0,0,0,0,0,0,0,18,6,0,0.5623,24
"7",7,42,0,0,0,2,1,1,0,18,28,0.3858,0.6693,46
