"","clusterID","政党zhēnɡ_dǎnɡ","党派dǎnɡ_bài","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,42,0,38,4,0,1,0.8277,42
"2",2,32,2,33,1,0,0.8893,0.9429,34
"3",3,332,92,285,70,69,0.6602,0.5056,424
