"","clusterID","仪式yí_shì","典礼diǎn_lǐ","庆典qìng_diǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,6,32,0,23,3,12,0.7341,0.4723,38
"2",2,36,19,1,24,4,28,0.5287,0.4388,56
"3",3,19,0,0,0,18,1,1,0.9003,19
"4",4,68,32,8,49,39,20,0.4897,0.3705,108
"5",5,9,14,13,14,4,18,0.3441,0.4136,36
"6",6,166,41,36,81,95,67,0.5171,0.34,243
