"","clusterID","前景jiǎn_jǐnɡ","期望jī_wànɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,67,20,14,34,0.0766,1.0319,68
"2",2,64,78,53,50,39,0.6883,1.0903,142
"3",3,30,0,2,27,1,0,0.3887,30
"4",4,33,0,10,14,9,0,1.0799,33
"5",5,24,0,4,17,3,0,0.8028,24
"6",6,47,0,11,33,3,0,0.7638,47
"7",7,132,24,42,53,61,0.4293,1.0872,156
