"","clusterID","广播ān_bō","节目jiē_mù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,38,6,16,16,12,0.764462809917355,0.338842975206612,44
"2",2,55,0,15,27,13,1,0.371239669421488,55
"3",3,36,33,19,22,28,0.500945179584121,0.342155009451796,69
"4",4,6,74,36,10,34,0.86125,0.39875,80
"5",5,3,59,25,5,32,0.907908428720083,0.435483870967742,62
"6",6,5,35,9,16,15,0.78125,0.35125,40
"7",7,46,104,42,32,76,0.574755555555556,0.380622222222222,150
