"","clusterID","仪式yí_shì","典礼diǎn_lǐ","庆典qìng_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,6,32,0,23,3,12,0.4362,0.8683,38
"2",2,11,16,1,17,2,9,0.8058,0.8563,28
"3",3,25,3,0,7,2,19,0.3405,0.7982,28
"4",4,19,0,0,0,18,1,0,0.2062,19
"5",5,68,32,8,49,39,20,0.8445,1.0387,108
"6",6,9,14,13,14,4,18,1.0817,0.958,36
"7",7,50,8,3,16,26,19,0.5776,1.0778,61
"8",8,116,33,33,65,69,48,0.9063,1.0869,182
