"","clusterID","变化biàn_huā","改变ɡǎi_biàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,56,1,5,46,6,0.965527854724531,0.670052323791936,57
"2",2,38,3,6,31,4,0.864366448542534,0.60261748958953,41
"3",3,16,0,3,9,4,1,0.4140625,16
"4",4,6,21,9,7,11,0.654320987654321,0.344307270233196,27
"5",5,17,118,44,38,53,0.779862825788752,0.339588477366255,135
"6",6,20,0,3,9,8,1,0.385,20
"7",7,16,27,11,13,19,0.532720389399675,0.352082206598161,43
"8",8,127,34,44,70,47,0.666833841286987,0.348944870954053,161
