"","clusterID","思想sāi_xiǎnɡ","想法xiǎnɡ_fǎ","构思ɡòu_sāi","构想ɡòu_xiǎnɡ","概念ɡài_niàn","理念lǐ_niàn","观念ɡuān_niàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,65,49,10,39,56,49,55,107,82,134,0.1611,0.3463,323
"2",2,77,0,0,0,1,0,0,1,76,1,0.9747,0.9497,78
"3",3,74,1,2,0,0,2,20,4,86,9,0.6004,0.7645,99
