"","clusterID","竞争jìnɡ_zhēnɡ","竞赛jìnɡ_sài","比赛bǐ_sài","赛事sài_shì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,15,0,0,0,5,4,6,1,0.342222222222222,15
"2",2,64,2,0,0,22,22,22,0.941230486685032,0.333333333333333,66
"3",3,0,0,78,2,9,44,27,0.95125,0.4290625,80
"4",4,0,0,68,4,3,47,22,0.895061728395062,0.521219135802469,72
"5",5,6,1,49,0,5,28,23,0.777423469387755,0.426658163265306,56
"6",6,5,11,28,5,12,19,18,0.397750937109538,0.345272802998751,49
"7",7,1,7,139,15,22,110,30,0.7466849565615,0.513793629019967,162
