"","clusterID","仪器yí_qì","装置zhuānɡ_zhì","设备shè_bèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,6,8,78,22,49,21,0.5304,1.0149,92
"2",2,0,0,18,2,11,5,0,0.9009,18
"3",3,2,0,43,16,17,12,0.1818,1.0879,45
"4",4,0,6,62,16,50,2,0.2984,0.6703,68
"5",5,0,0,9,2,0,7,0,0.5297,9
"6",6,0,9,0,0,9,0,0,0,9
"7",7,12,19,39,26,20,24,0.9822,1.0928,70
"8",8,36,46,107,59,91,39,0.9819,1.041,189
