"","clusterID","位置lì_zhì","地位de_lì","地点de_diǎn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,53,21,121,56,48,91,0.470506245890861,0.360841551610782,195
"2",2,2,0,64,10,4,52,0.941230486685032,0.647382920110193,66
"3",3,8,136,6,37,66,47,0.826488888888889,0.352622222222222,150
"4",4,19,24,0,5,30,8,0.506760411032991,0.534883720930233,43
"5",5,28,1,0,2,12,15,0.933412604042806,0.443519619500595,29
"6",6,1,16,0,4,11,2,0.889273356401384,0.487889273356401,17
