"","clusterID","贸易mào_yì","交易jiāo_yì","商业shānɡ_yè","买卖mǎi_mài","生意shēnɡ_yī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,23,0,0,0,0,7,2,14,0,0.8766,23
"2",2,127,7,19,0,0,38,77,38,0.5548,1.0374,153
"3",3,24,38,25,4,0,22,39,30,1.2085,1.0722,91
"4",4,21,19,36,8,50,35,34,65,1.4566,1.0496,134
"5",5,0,2,24,0,0,10,11,5,0.2712,1.0485,26
"6",6,1,55,1,15,1,32,14,27,0.7148,1.0461,73
