"","clusterID","主题zhǔ_tí","议题yì_tí","话题huà_tí","课题kè_tí","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,26,2,14,21,6,16,0.474310438074635,0.396430502974581,43
"2",2,0,14,0,0,10,0,4,1,0.591836734693878,14
"3",3,25,123,14,98,124,53,83,0.37801775147929,0.370917159763314,260
"4",4,13,3,33,31,14,10,56,0.348125,0.53625,80
"5",5,100,2,1,0,39,43,21,0.943067207088321,0.359223300970874,103
