"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
""	0	12	4.202	7.798	-2.246	2.246	4.492	"1_&_2"
"、"	61	146	72.487	134.513	-1.273	1.273	2.546	"1_&_2"
"﹑"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"0.85"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"1000多"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"100万"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"100多万"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"10多亿"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"11"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"119"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"12.74"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"13"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"15"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"1500多"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"15亿"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"15日"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"16"	0	5	1.751	3.249	-0.936	0.936	1.872	"1_&_2"
"192"	0	2	0.7	1.3	-0.374	0.374	0.748	"1_&_2"
"1969年"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"2.5"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"2880"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"300万"	1	1	0.7	1.3	0.238	-0.238	0.476	"1_&_2"
"300多万"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"4"	0	3	1.051	1.949	-0.562	0.562	1.124	"1_&_2"
"4171"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"42.8"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"44亿"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"652"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"670"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"69亿"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"700"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"7200万"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"8"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"802.11"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"891030"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"9.88"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"9月份"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"ARS"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"ATM"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"ballastwater"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"Cenosos"	1	0	0.35	0.65	0.456	-0.456	0.912	"1_&_2"
"CT"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
"ctron"	0	1	0.35	0.65	-0.187	0.187	0.374	"1_&_2"
