"","clusterID","兄弟kuànɡ_dì","哥哥ɡē_ɡē","弟弟dì_dì","亲兄弟qīn_kuànɡ_dì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,29,6,0,2,3,34,0.587113740959895,0.768573307034845,39
"2",2,1,30,0,0,0,1,30,0.937565036420396,0.937565036420396,31
"3",3,0,9,18,0,2,3,22,0.555555555555556,0.681755829903978,27
"4",4,7,106,42,1,12,12,132,0.536242603550296,0.727810650887574,156
"5",5,9,18,25,0,5,12,35,0.380917159763314,0.515532544378698,52
"6",6,20,0,0,0,1,6,13,1,0.515,20
"7",7,85,11,31,2,38,36,55,0.499429120846103,0.346433507601707,129
"8",8,46,0,0,0,11,13,22,1,0.36578449905482,46
