"","clusterID","凌晨línɡ_chén","清晨qīng_chén","一大早yī_dà_zǎo","早晨zǎo_chén","大清早dà_qīng_zǎo","清早qīng_zǎo","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,28,15,0,0,0,0,16,27,0,0.6467,0.6601,43
"2",2,18,19,2,2,0,0,34,4,3,1.0125,0.5736,41
"3",3,41,23,0,0,0,0,61,3,0,0.6531,0.1892,64
"4",4,56,8,0,18,0,0,4,12,66,0.8204,0.6033,82
"5",5,64,18,0,7,1,1,2,59,30,0.8645,0.7307,91
"6",6,30,15,16,10,3,4,20,34,24,1.5505,1.0736,78
"7",7,73,25,1,1,0,1,48,32,21,0.7173,1.0443,101
