"","clusterID","保险bǎo_xiǎn","保障bǎo_zhānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,184,3,28,103,56,0.0822,0.9739,187
"2",2,54,92,10,125,11,0.6589,0.5114,146
"3",3,41,126,64,68,35,0.5573,1.0609,167
