"","clusterID","教师jiāo_shī","教授jiāo_shòu","老师lǎo_shī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,111,3,46,37,35,0.886670496983625,0.338264866417696,118
"2",2,0,8,0,0,0,8,1,1,8
"3",3,28,81,38,41,36,70,0.406728677865704,0.364524040908881,147
"4",4,2,0,59,12,7,42,0.936576189196453,0.525933888739586,61
"5",5,29,3,0,10,11,11,0.830078125,0.333984375,32
"6",6,91,4,39,35,31,68,0.546781020271775,0.37926041434618,134
