"","clusterID","途径tú_jìnɡ","路径lù_jìnɡ","路线lù_xiàn","轨道ɡuǐ_dǎo","道路dǎo_lù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,53,0,0,0,0,10,34,9,0,0.9005,53
"2",2,83,2,60,22,67,61,113,60,1.3377,1.051,234
"3",3,0,0,0,32,0,6,24,2,0,0.7029,32
"4",4,2,0,9,0,15,4,13,9,0.8819,1.0018,26
"5",5,2,4,30,19,100,62,57,36,1.0084,1.0735,155
