"","clusterID","书记shū_jì","店员diàn_yuán","职员zhí_yuán","营业员yíng_yè_yuán","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,16,25,177,13,30,37,164,0.7915,0.8016,231
"2",2,45,0,0,0,1,42,2,0,0.2874,45
"3",3,224,0,0,0,27,175,22,0,0.6758,224
